kinderage,ses,books,wicFk,black,hispanic,asian,other,female,wic,teenmom,thirtymom,bweight,zmathFk,zreadFk,zmath8,zread8
68,0.62,55,0,0,0,0,0,0,0,0,0,106,0.7767517566680908,-0.24542532861232758,0.38426467776298523,-0.05360500514507294
64,-0.33,50,0,0,0,0,0,1,0,0,0,113,-0.8279337882995605,-0.35561996698379517,-1.4179563522338867,-0.6670937538146973
68,-0.49,100,1,0,0,0,0,1,1,1,0,139,0.0787300243973732,0.16345429420471191,-0.42176127433776855,0.908079206943512
62,-0.2,40,1,1,0,0,0,1,1,0,0,83,-0.8585199117660522,-1.010987401008606,-1.1172006130218506,0.04072105512022972
64,0.81,100,1,0,0,0,0,0,1,0,0,131,1.5556087493896484,0.4457067549228668,1.1074659824371338,1.1317356824874878
69,-0.29,80,1,0,0,0,0,1,1,0,0,102,-0.6771872043609619,-0.39041829109191895,-0.28850314021110535,-1.9559720754623413
69,-0.24,100,1,0,0,0,0,1,1,0,0,150,1.0116106271743774,-0.0318027064204216,0.9607898592948914,1.1125755310058594
64,0,50,1,0,0,0,0,0,1,1,0,128,0.07654524594545364,-0.6059741973876953,0.3287399709224701,1.07646644115448
71,-0.04,50,0,0,0,0,0,0,0,0,0,124,-0.41392701864242554,-0.5798754692077637,0.5068801641464233,-0.2230975329875946
71,-0.45,75,0,0,0,0,0,0,0,0,0,131,-0.4390515983104706,-0.9529902935028076,-1.09036386013031,-2.9489758014678955
63,-0.39,200,0,0,0,0,0,1,0,0,0,107,-0.20746992528438568,-0.10236582159996033,-0.33986297249794006,0.020455557852983475
69,0.36,40,0,0,0,0,0,0,0,0,0,87,0.0011719393078237772,0.06195904687047005,0.44441524147987366,-1.3354829549789429
61,-0.66,50,1,0,0,0,0,1,1,0,0,20,-0.9786801934242249,-0.99552154541015625,-0.9723752737045288,-0.05986878275871277
66,0.71,10,0,0,0,0,0,0,0,0,0,140,-0.30687519907951355,-0.3217882812023163,1.0662856101989746,0.8163326978683472
60,0.46,15,0,0,0,0,0,1,0,1,0,104,-0.4510674774646759,0.08805779367685318,0.4541322886943817,0.33991163969039917
68,-0.65,10,0,0,0,1,0,1,0,1,0,134,2.499412775039673,0.9570480585098267,1.274501085281372,0.8623903393745422
61,0.03,20,0,1,0,0,0,1,0,0,0,122,-0.5177018642425537,-0.029869424179196358,-1.450808048248291,0.378231942653656
62,-0.61,20,1,0,0,0,0,0,1,1,0,121,-0.6586169600486755,-0.9036927223205566,-0.7516666650772095,-1.739316463470459
67,-0.6,10,1,1,0,0,0,1,1,1,0,85,-0.9218771457672119,-0.8292630314826965,-0.7053965926170349,-0.23746751248836517
67,0.48,100,0,1,0,0,0,0,0,0,0,141,-0.09277159720659256,-0.6533384919166565,0.11450983583927155,-0.7768951654434204
69,-0.48,10,0,0,0,0,0,0,0,0,0,82,-0.30250585079193115,-0.8176637291908264,-0.17005176842212677,0.13320469856262207
70,-0.41,3,1,1,0,0,0,1,1,1,0,117,-0.950278639793396,-0.7857653498649597,-1.2240848541259766,-1.5248721837997437
64,-0.39,55,0,0,0,0,0,1,0,0,0,110,0.0011719393078237772,-0.17196246981620789,-0.21400822699069977,-1.5805096626281738
65,-0.53,30,1,1,0,0,0,1,1,0,0,115,-0.2872125804424286,-0.3188885450363159,-0.017360256984829903,0.6928978562355042
70,-0.88,25,1,1,0,0,0,0,1,1,0,102,-0.9590175747871399,-0.838929295539856,-3.0660977363586426,-2.3704912662506104
69,-0.48,10,0,0,0,0,0,1,0,0,0,92,-0.2915821671485901,-0.6117738485336304,-0.9358218908309937,-1.2164695262908936
65,0.35,200,0,0,0,0,0,1,0,1,0,123,0.0055415029637515545,0.19245277345180511,0.573971688747406,0.6696845889091492
63,-0.05,200,0,0,0,0,0,0,0,1,0,106,-0.35056981444358826,0.12768913805484772,-0.3162647783756256,-0.09782027453184128
66,-0.53,70,0,0,0,0,0,0,0,0,0,143,0.9657310247421265,1.346595287322998,-0.9029701352119446,-0.46001800894737244
63,-0.41,200,0,0,0,0,0,0,0,0,0,134,1.4092316627502441,0.7192599773406982,-0.11591582000255585,0.6733694076538086
69,-0.08,100,0,0,0,0,0,0,0,0,0,108,0.39770087599754333,0.7666240930557251,-0.16912616789340973,-1.703944206237793
60,-0.44,20,1,1,0,0,0,1,1,1,0,123,0.02192694880068302,0.19921907782554626,-0.2227996587753296,0.5797804594039917
60,0.14,50,0,0,0,0,0,0,0,0,0,156,1.6757688522338867,0.7269927263259888,0.6840947866439819,0.8657063841819763
63,0.36,100,0,0,0,0,0,1,0,0,1,134,1.9717998504638672,0.9899131059646606,1.036210298538208,1.0377779006958008
67,0.78,40,1,0,0,0,0,0,1,0,0,143,-0.555934727191925,-0.3981512486934662,0.09831501543521881,0.17520928382873535
69,-0.1,30,0,1,0,0,0,1,0,1,0,86,-0.47073009610176086,-0.49481311440467834,-1.4012991189956665,-0.7544189691543579
69,-0.1,30,0,1,0,0,0,1,0,1,0,85,-0.8170101046562195,-0.22125986218452454,-1.2763699293136597,-0.8513245582580566
70,1.07,20,0,0,0,1,0,0,0,0,0,107,1.0771523714065552,1.0981743335723877,0.9316394329071045,0.47661110758781433
61,0.53,100,0,0,0,1,0,1,0,0,1,110,0.79750657081604,1.1880698204040527,0.5855392217636108,0.8900249600410461
